dataset,mode,variant,MAE,RMSE,MAPE
sz,fedavg,,0.5466399788856506,0.7007299065589905,1.5310513973236084
sz,fedprox,,0.5478555560112,0.7067034840583801,2.2281417846679688
sz,aefl,,0.5412141680717468,0.6953309774398804,1.8634036779403687
pems08,fedavg,,0.7671146988868713,0.9384554028511047,1.3183872699737549
pems08,fedprox,,0.7986428737640381,0.9879021048545837,1.7930089235305786
pems08,aefl,,0.7616480588912964,0.9372014999389648,1.2435084581375122
los,fedavg,,0.019882215186953545,0.023684337735176086,0.8893093466758728
los,fedprox,,0.020697634667158127,0.023529304191470146,0.9239181876182556
los,aefl,,0.0195980966091156,0.022885819897055626,0.8759897351264954
