dataset,mode,variant,total_energy_j
sz,aefl,,540.5768450737
sz,fedavg,,671.9917413234713
sz,fedprox,,594.3941996335983
pems08,aefl,,5071.948132848738
pems08,fedavg,,5441.031515336035
pems08,fedprox,,5820.735072708128
los,aefl,,457.07615969181046
los,fedavg,,490.21581277847275
los,fedprox,,495.7576232910154
